# meeting: 臨時定例（青葉ビバレッジ 商品企画部）
# date: 2026-09-19 10:00
[10:00] 鈴木: 臨時で集まってもらいました。商品Cの件で結論を出したいのと、見込み表の最終確認です。
[10:00] 佐藤: お願いします。
[10:00] 山田: お願いします。
[10:01] 高橋: お願いします。
[10:01] 田中: すみません、少し遅れます。10分ほどで入ります。
[10:01] 鈴木: 分かりました。先に商品Cの件から。佐藤さん。
[10:02] 佐藤: 年末まで契約が残っていた2社ですが、両方とも商品Eへの切り替えで合意が取れました。違約の問題はなくなりました。
[10:02] 高橋: それなら管理部としても問題ありません。
[10:02] 鈴木: では商品Cの取り扱いを終了することに決定します。第4四半期での出荷は行いません。
[10:03] 佐藤: 分かりました。得意先には今週中に正式に案内します。
[10:03] 鈴木: 山田さん、見込み表から商品Cの行を外してください。
[10:03] 山田: 実はもう、先日の更新で商品Cの行は外してしまっています。
[10:04] 鈴木: え、先日というのは。
[10:04] 山田: 18日に見込み表の新しい版を上げたときです。佐藤さんから終了はほぼ確定と聞いていたので、先に外しました。
[10:04] 高橋: 決定前に外すのは順番が違いますよ。
[10:05] 山田: すみません。結果的に今日の決定と同じ内容にはなりますが。
[10:05] 鈴木: 結果は同じでも、決まっていないものを反映するのはやめてください。今後は決定してから動いてください。
[10:05] 山田: はい、気をつけます。
[10:06] 鈴木: 18日の版、他に何を変えましたか。
[10:06] 山田: 商品Dの行追加、商品Bの第1四半期の修正、合計行の数式の範囲修正、それと商品Cの削除です。
[10:06] 高橋: 数式の範囲修正というのは。
[10:07] 山田: 合計の数式が末尾の行を含んでいなかったので、範囲を1行伸ばしました。以前から間違っていたものです。
[10:07] 高橋: それは直してもらって助かります。
[10:07] 鈴木: 分かりました。数式の修正は問題ありません。
[10:08] 鈴木: それ以外の数字は触っていませんね。15日に据え置きで合意した第3四半期は。
[10:08] 山田: ええと、はい、大丈夫だと思います。
[10:08] 鈴木: 分かりました。高橋さん、予算会議資料は18日の版をもとに進めてください。
[10:09] 高橋: はい、もう着手しています。今週中に一次版を出します。
[10:09] 田中: すみません、遅れました。
[10:09] 鈴木: どうぞ。商品Dの原価試算はどうなりましたか。
[10:10] 田中: 出しました。共有フォルダに置いてあります。原価率は想定より2ポイント高いです。
[10:10] 高橋: 2ポイントは無視できませんね。
[10:10] 鈴木: 第4四半期の400を見直す必要があるかもしれません。ただ今日は決めません。予算会議の後で。
[10:11] 田中: 分かりました。
[10:11] 佐藤: 商品Eの値上げの打診ですが、8%は3社とも難色、5%なら2社が了承でした。
[10:11] 田中: 5%だと利益がほぼ出ないのですが。
[10:12] 鈴木: 悩ましいですね。6%で再打診できませんか。
[10:12] 佐藤: やってみます。
[10:12] 鈴木: 値上げ幅はまだ決めません。6%の打診結果を待ちます。
[10:13] 高橋: 予算会議の日程ですが、29日から30日の午前に変更になりました。資料締め切りは変わらず26日です。
[10:13] 鈴木: 了解です。
[10:13] 山田: 質問ですが、商品Cの削除で合計行の数式はずれませんか。
[10:14] 高橋: 行を削除した場合は自動で範囲が縮むはずです。
[10:14] 山田: 分かりました、確認しておきます。
[10:14] 田中: 商品Dのパッケージの色味ですが、印刷所に確認したら次のロットから直せるそうです。初回ロットはこのままになります。
[10:14] 佐藤: 初回は得意先に事情を説明します。
[10:15] 鈴木: 分かりました。それは製造と営業で対応してください。
[10:15] 佐藤: そういえば商品Aの書面、大手1社から来ました。もう1社はまだです。
[10:15] 鈴木: 1社だけですか。それでは第3四半期の見直しはまだしません。2社揃ってからです。
[10:16] 佐藤: 分かりました。
[10:16] 山田: あ、あの。
[10:16] 鈴木: どうしました。
[10:16] 山田: いえ、何でもないです。
[10:17] 田中: 話は変わりますが、来月の展示会の出展、決まりましたっけ。
[10:17] 佐藤: まだです。営業部長が判断中です。
[10:17] 鈴木: それはこの会議の範囲外なので割愛します。
[10:18] 鈴木: では今日の決定事項。
[10:18] 鈴木: 一つ、商品Cの取り扱い終了。第4四半期の出荷なし。佐藤さんが得意先に案内。
[10:18] 鈴木: 二つ、予算会議資料は18日の見込み表をもとに高橋さんが作成。
[10:19] 鈴木: 三つ、商品Eの値上げは6%で再打診。佐藤さん。
[10:19] 鈴木: 四つ、商品Aの第3四半期は引き続き据え置き。書面が2社揃ってから見直す。
[10:19] 鈴木: 商品Dの第4四半期の見直しは予算会議の後で判断します。
[10:20] 鈴木: 以上です。お疲れさまでした。
[10:20] 全員: お疲れさまでした。
