# meeting: 定例会議（青葉ビバレッジ 商品企画部）
# date: 2026-09-15 10:30
[10:30] 鈴木: 遅れてすみません、始めましょう。今日は予算会議前の見込み表の最終確認が中心です。
[10:30] 山田: お願いします。
[10:31] 田中: お願いします。
[10:31] 佐藤: お願いします。
[10:31] 高橋: 資料締め切りが26日なので、今日で数字を固めたいです。
[10:32] 鈴木: まず先週分の確認。山田さん、商品Dの行追加と商品Bの修正はどうなっていますか。
[10:32] 山田: 商品Bの850への修正は準備できています。商品Dの行追加も一緒に、今週中に見込み表の新しい版として上げる予定です。
[10:32] 鈴木: 分かりました。まとめて更新するということですね。
[10:33] 山田: はい。一度にやったほうがミスが少ないので。
[10:33] 田中: 商品Dの原価試算ですが、すみません、まだ出せていません。製造の立ち会いが重なってしまって。
[10:33] 鈴木: それは急ぎで。今週中にはお願いします。
[10:34] 田中: はい、必ず。
[10:34] 佐藤: 得意先ヒアリングは5社中4社回りました。商品Dは4社中3社が前向きです。
[10:34] 鈴木: いい反応ですね。
[10:35] 佐藤: それでですね、その流れで一つ提案があります。商品Aなんですが、秋のキャンペーンで大手2社が数量を増やしたいと言っています。第3四半期の見込みを1200から1500に上げたいです。
[10:35] 高橋: 1500は大きいですね。根拠は。
[10:35] 佐藤: 2社の口頭ベースの話です。書面はまだです。
[10:36] 田中: 製造は1500だと第3四半期のラインが厳しいです。商品Dの初回ロットと重なるので。
[10:36] 高橋: 口頭ベースで見込みを上げて、予算会議で数字が独り歩きするのが一番まずいです。
[10:36] 鈴木: 私も同意見です。書面が来ていない段階で見込みを動かすと、去年の二の舞になります。
[10:37] 佐藤: でも機会損失になりませんか。
[10:37] 鈴木: 機会があるなら書面をもらってから議論しましょう。第3四半期は据え置きで合意します。商品Aの第3四半期は1200のまま動かさないでください。
[10:37] 佐藤: 分かりました。書面が来たら再度上げます。
[10:38] 山田: 了解です。商品Aの第3四半期は1200のまま据え置きですね。
[10:38] 鈴木: はい。見込み表の更新は、商品Dの追加と商品Bの修正だけです。それ以外の数字は触らないでください。
[10:38] 山田: 分かりました。
[10:39] 高橋: 念のため確認ですが、第4四半期も据え置きですか。
[10:39] 鈴木: 第4四半期は商品Dの400を足す以外はそのままです。
[10:39] 高橋: 承知しました。
[10:40] 田中: 商品Eの値上げ幅の案を持ってきました。原材料費の上昇分をそのまま乗せると8%です。
[10:40] 佐藤: 8%は得意先が飲まないと思います。5%が限界かと。
[10:40] 高橋: 5%だと利益が出ないのでは。
[10:41] 田中: 5%だとぎりぎりです。ほぼ利益ゼロ。
[10:41] 鈴木: 得意先の反応を見てから決めましょう。佐藤さん、主要3社に8%と5%の両方で打診してもらえますか。
[10:41] 佐藤: 分かりました。
[10:42] 鈴木: 値上げは継続検討です。今日は決めません。
[10:42] 山田: あの、雑談ですけど、先週の自販機の商品A、補充されました。
[10:42] 田中: 補充された瞬間にまた売り切れてましたよ。
[10:42] 佐藤: 社内需要だけで1500行けるんじゃないですか。
[10:43] 鈴木: 社内需要は見込みに入れません。
[10:43] 高橋: 予算会議の資料ですが、私が見込み表をもとに作ります。山田さんの新しい版が出たらすぐ着手します。
[10:43] 鈴木: では高橋さんが予算会議資料の作成。山田さんの更新が前提ですね。
[10:44] 高橋: はい。
[10:44] 山田: 今週中に上げます。
[10:44] 鈴木: 商品Cの契約の件はどうでしたか。
[10:44] 佐藤: 確認中です。年末まで残っている契約が2社ありました。担当と話して、来週には結論を出せます。
[10:45] 鈴木: では商品Cは来週また議論しましょう。それまでは見込み表に残したままで。
[10:45] 山田: はい。
[10:45] 鈴木: 他にありますか。
[10:46] 田中: 商品Dの初回ロットですが、パッケージの色味が微妙に想定と違うと聞いています。
[10:46] 佐藤: それ得意先にサンプル見せる前に直せますか。
[10:46] 田中: 確認します。
[10:47] 鈴木: それは製造側で確認をお願いします。今日は決定事項にはしません。
[10:47] 田中: 分かりました。
[10:47] 高橋: あと社内イベントの精算、まだ出してない人がいます。
[10:47] 山田: すみません、今日出します。
[10:48] 鈴木: では今日の決定事項を確認します。
[10:48] 鈴木: 一つ、第3四半期の見込みは据え置き。商品Aの第3四半期は1200のまま。
[10:48] 鈴木: 二つ、見込み表の更新は商品Dの追加と商品Bの修正のみ。それ以外の数字は触らない。
[10:49] 鈴木: 三つ、商品Eの値上げは継続検討。佐藤さんが主要3社に打診。
[10:49] 鈴木: 四つ、商品Cは来週に持ち越し。
[10:49] 鈴木: タスクは、山田さんが見込み表の更新を今週中、田中さんが商品Dの原価試算を今週中、高橋さんが予算会議資料の作成。
[10:50] 山田: 了解です。
[10:50] 鈴木: 以上です。お疲れさまでした。
[10:50] 全員: お疲れさまでした。
